PERMIT,HSN1F,DGORDER,UMCSENT,UNRATE
1261,686,227276,83.4,4.7
1192,727,228963,80.9,4.7
1224,641,232795,76.1,4.7
1149,619,243079,75.5,5.0
1094,627,236426,78.4,5.0
1014,593,233636,70.8,4.9
967,535,231216,69.5,5.1
1008,536,229308,62.6,5.0
995,504,230055,59.8,5.4
1180,487,229237,56.4,5.6
921,477,223460,61.2,5.8
858,435,216876,63.0,6.1
797,433,211788,70.3,6.1
736,393,192433,57.6,6.5
626,389,184310,55.3,6.8
554,377,173752,60.1,7.3
545,336,153567,61.2,7.8
558,372,146163,56.3,8.3
513,339,144350,57.3,8.7
521,337,143769,65.1,9.0
556,376,150684,68.7,9.4
601,393,145217,70.8,9.5
595,411,156453,66.0,9.5
616,418,158160,65.7,9.6
609,386,157770,73.5,9.8
583,396,162629,70.6,10.0
623,375,162170,67.4,9.9
664,352,159713,72.5,9.9
636,345,182987,74.4,9.8
650,336,176497,73.6,9.8
687,381,179211,73.6,9.9
637,422,187274,72.2,9.9
575,280,186393,73.6,9.6
587,305,186484,76.0,9.4
579,283,190077,67.8,9.4
580,282,192410,68.9,9.5
563,317,200338,68.2,9.5
558,291,194980,67.7,9.4
560,287,195734,71.6,9.8
632,326,194759,74.5,9.3
576,307,204128,74.2,9.1
542,270,194899,77.5,9.0
583,300,210464,67.5,9.0
581,310,201736,69.8,9.1
618,305,205946,74.3,9.0
636,301,200008,71.5,9.1
621,296,208990,63.7,9.0
647,299,215074,55.8,9.0
610,304,208403,59.5,9.0
671,316,209201,60.8,8.8
706,328,216898,63.7,8.6
697,341,226410,69.9,8.5
715,335,224677,75.0,8.3
733,366,224092,75.3,8.3
797,354,220496,76.2,8.2
747,354,218897,76.4,8.2
807,370,217012,79.3,8.2
790,360,218729,73.2,8.2
840,369,224611,72.3,8.2
832,375,202598,74.3,8.1
921,385,216919,78.3,7.8
895,358,218153,82.6,7.8
930,392,218345,82.7,7.7
938,399,230294,72.9,7.9
928,442,216919,73.8,8.0
971,439,229202,77.6,7.7
932,449,211757,78.6,7.5
1015,451,220286,76.4,7.6
1016,430,231193,84.5,7.5
951,463,240895,84.1,7.5
986,376,215452,85.1,7.3
947,380,221749,82.1,7.3
1015,399,231395,77.5,7.2
1031,444,224605,73.2,7.2
1042,446,238295,75.1,6.9
1013,441,230735,82.5,6.7
1001,447,221898,81.2,6.6
1032,423,229822,81.6,6.7
1078,410,233750,80.0,6.7
1080,401,236290,84.1,6.2
1007,452,232665,81.9,6.3
1015,416,238124,82.5,6.1
1053,402,290709,81.8,6.2
1045,449,238736,82.5,6.2
1062,466,235647,84.6,5.9
1123,474,230525,86.9,5.7
1073,446,228416,88.8,5.8
1070,492,223741,93.6,5.6
1069,523,226806,98.1,5.7
1127,549,219304,95.4,5.5
1079,481,230337,93.0,5.4
1178,500,226960,95.9,5.4
1255,504,220679,90.7,5.5
1363,476,233102,96.1,5.3
1134,498,231512,93.1,5.2
1159,513,227210,91.9,5.1
1125,461,221142,87.2,5.0
1166,482,227110,90.0,5.0
1267,508,225927,91.3,5.0
1218,536,220920,92.6,5.0
1193,520,226580,92.0,4.9
1195,525,215886,91.7,4.9
1115,533,218633,91.0,5.0
1163,566,229021,89.0,5.0
1178,560,222159,94.7,4.7
1193,559,211453,93.5,4.9
1175,627,220039,90.0,4.9
1200,567,221425,89.8,4.9
1270,570,220333,91.2,4.9
1285,577,233739,87.2,4.8
1255,579,223079,93.8,4.6
1266,548,223681,98.2,4.7
1300,599,224395,98.5,4.8
1219,615,227461,96.3,4.7
1260,638,232817,96.9,4.5
1228,590,230986,97.0,4.4
1168,606,230976,97.1,4.3
1275,614,245705,95.1,4.4
1230,580,228910,93.4,4.3
1272,560,232798,96.8,4.4